Name,Calories,Carbs (g),Protein (g),Type
Scrambled Eggs with Cream and Butter,260,1,19,Breakfast
Scrambled Egg Whites,100,1,13,Breakfast
Chicken Breakfast Sausage Patty,90,0,8,Breakfast
Crispy Hashbrowns,100,17,2,Breakfast
Blueberry Pancakes,170,34,4,Breakfast
Blueberry Compote,40,10,0,Breakfast
French Toast Sticks,230,29,4,Breakfast
Tofu Scramble,150,4,13,Breakfast
Breakfast Potatoes,90,17,2,Breakfast
Country Ham,70,1,10,Breakfast
Ham and Cheddar Scramble,280,4,21,Breakfast
Pork Breakfast Sausage Links,200,1,5,Breakfast
Tater Tots,130,16,1,Breakfast
Belgian Waffle,330,58,10,Breakfast
Bacon,130,0,9,Breakfast
Sausage Egg and Cheese Croissant,520,28,17,Breakfast
Corned Beef Hash,120,7,7,Breakfast
Baby Spinach,0,0,0,Build Your Own
Diced Tomatoes,10,2,0,Build Your Own
Diced Onions,15,4,0,Build Your Own
Diced Bell Peppers,10,2,0,Build Your Own
Cheddar Cheese,90,1,5,Build Your Own
Shredded Mozzarella Cheese,60,1,5,Build Your Own
Pork Bacon,90,0,7,Build Your Own
Italian Sausage Crumbles,70,0,4,Build Your Own
Diced Black Forest Ham,70,2,7,Build Your Own
Grilled Chicken,160,0,31,Build Your Own
Jamaican Beef Pepper Steak,190,9,9,Lunch/Dinner
Blanched Broccoli,90,18,7,Lunch/Dinner
Baked Sweet Potato,130,30,3,Lunch/Dinner
Apple Compote,120,23,0,Lunch/Dinner
Chicken Pot Pie with Potatoes,250,19,23,Lunch/Dinner
Yellow Rice,230,39,4,Lunch/Dinner
"Cajun Shrimp, Pork Sausage, Country Cheese Grits",350,19,20,Lunch/Dinner
"Black Eyed Peas, Rice, Pork Broth",280,49,16,Lunch/Dinner
Collard Greens,35,7,3,Lunch/Dinner
Cornbread,90,14,2,Lunch/Dinner
Piri Piri Chicken Thigh,260,3,19,Lunch/Dinner
Escalivada,100,8,1,Lunch/Dinner
Andouille Sausage,420,4,22,Lunch/Dinner
Tomato Farro Risotto,80,13,4,Lunch/Dinner
Steamed Broccoli,10,2,1,Lunch/Dinner
Roasted Pork,200,5,21,Lunch/Dinner
Spicy Salmon,230,2,23,Lunch/Dinner
Pork Medallions,230,11,31,Lunch/Dinner
Chipotle Orange Chicken Breast,200,2,33,Lunch/Dinner
Corn Succotash with Lima Beans,240,24,6,Lunch/Dinner
Puerto Rican Beef Sancocho,250,34,16,Lunch/Dinner
Fried Plantains,170,32,1,Lunch/Dinner
